path,size_bytes,git_status,classification,category,needed_for_v5,needed_for_history,regenerable,recommendation,reason
.gitignore,3189,tracked,KEEP,config,yes,yes,no,KEEP,Governance/config file required for continuity.
AGENTS.md,5992,tracked,KEEP,governance,yes,yes,no,KEEP,Mandatory bootstrap/governance file read by agents per CLAUDE.md.
CLAUDE.md,502,tracked,KEEP,governance,yes,yes,no,KEEP,Mandatory bootstrap/governance file read by agents per CLAUDE.md.
PROJECT_STATE.json,3236,tracked,KEEP,governance,yes,yes,no,KEEP,Mandatory bootstrap/governance file read by agents per CLAUDE.md.
codex/v1/INSTRUCCIONES_CODEX_LEGACY_DOCUMENTATION_ANALYZER.md,19418,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v1/LEGACYMAPPER_V1_R1_CORRECCIONES_CODEX.md,15126,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v1/V1_R1_RESULTADO.md,3385,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/LEGACYMAPPER_V2_INSTRUCCIONES_CODEX.md,30017,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R1/V2_R1_1_RESULTADO.md,2095,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R1/V2_R1_1_VALIDACION_REAL.md,18450,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R1/V2_R1_RESULTADO.md,4186,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R1/V2_R1_VALIDACION_REAL.md,19793,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R1/V2_R1_codex_1.md,2282,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R1/V2_R1_codex_2.md,6751,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R1/V2_R1_codex_3.md,3009,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
